2026-05-08 14:11:19,965 (13256)|13256 DEBUG   index.py   <module>   (21): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:20,145 (13256)|13256 INFO    index.py   <module>   (146): Run WebApp from MAIN
2026-05-08 14:11:20,199 (13256)|13256 DEBUG   selector_e __init__   (64): Using selector: EpollSelector
2026-05-08 14:11:43,686 (13256)|13256 DEBUG   webmiddlew dispatch   (61): Now call handler for /settings
2026-05-08 14:11:43,686 (13256)|13256 DEBUG   webmiddlew check_sess (90): sys.path=['/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/webapp', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc', '/usr/lib/python313.zip', '/usr/lib/python3.13', '/usr/lib/python3.13/lib-dynload', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/.venv/lib/python3.13/site-packages', '/usr/lib/python3.13/site-packages', '/home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser']
2026-05-08 14:11:43,687 (13256)|13256 DEBUG   webmiddlew check_sess (91): /settings
2026-05-08 14:11:43,687 (13256)|13256 DEBUG   webmiddlew dispatch   (69): Session check result: None
2026-05-08 14:11:43,688 (13256)|13256 DEBUG   routes.py  show_setti (157): Call settings
2026-05-08 14:11:43,689 (13256)|13256 DEBUG   routes.py  show_setti (160): Send response
2026-05-08 14:11:43,690 (13256)|13256 DEBUG   workflow.p get_workfl (210): len len(step_mapping)=18, len(workflow_dict["step_action"])=1
2026-05-08 14:11:43,690 (13256)|13256 WARNING workflow.p get_all_wo (114): Use of old workflow file: /home/andreas/projects/opensource/i-releaser-unit-tests/i-releaser/etc/workflow.json. Migrate to single etc/workflows/*.json file for each workflow!
2026-05-08 14:11:43,691 (13256)|13256 DEBUG   routes.py  get_sideba (31): Sidebar: {'projects': ['test'], 'current_user': 'PROUZA', 'logs': ['index.log', '.gitkeep'], 'active': 'settings'}
2026-05-08 14:11:43,692 (13256)|13256 DEBUG   permission convert_pe (206): user_permissions={'prouza': {'roles': ['admin'], 'general': ['read'], 'workflows': {'unit_test_permissions': {'general': ['deploy'], 'stages': {'uat': ['admin']}}, 'unit_test_permissions_admin': {'general': ['admin'], 'stages': {'uat': ['admin']}}}}, 'prouzat1': {'general': ['admin'], 'workflows': {'unit_test_permissions': {'general': ['read'], 'stages': {'uat': ['4-eyes_check']}}}}}
2026-05-08 14:11:43,693 (13256)|13256 DEBUG   permission convert_pe (206): user_permissions={'admin': {'general': ['admin'], 'workflows': {'*': {'general': ['admin'], 'stages': {'*': ['admin']}}}}}
2026-05-08 14:11:43,693 (13256)|13256 DEBUG   permission check_relo (193): Reloaded user permissions: {'prouza': Permissions(roles=['admin'], general=[<PermissionAction.READ: 'read'>], workflows={'unit_test_permissions': {'general': [<PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.READ: 'read'>], 'stages': {'uat': [<PermissionAction.ADMIN: 'admin'>, <PermissionAction.CANCEL_WORKFLOW: 'cancel_workflow'>, <PermissionAction.START_WORKFLOW: 'start_workflow'>, <PermissionAction.UPDATE: 'update'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.CHANGE_CHECK_ERROR: 'change_check_error'>, <PermissionAction.RUN_WORKFLOW: 'run'>]}}, 'unit_test_permissions_admin': {'general': [<PermissionAction.ADMIN: 'admin'>, <PermissionAction.CANCEL_WORKFLOW: 'cancel_workflow'>, <PermissionAction.START_WORKFLOW: 'start_workflow'>, <PermissionAction.UPDATE: 'update'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.CHANGE_CHECK_ERROR: 'change_check_error'>, <PermissionAction.RUN_WORKFLOW: 'run'>], 'stages': {'uat': [<PermissionAction.ADMIN: 'admin'>, <PermissionAction.CANCEL_WORKFLOW: 'cancel_workflow'>, <PermissionAction.START_WORKFLOW: 'start_workflow'>, <PermissionAction.UPDATE: 'update'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.CHANGE_CHECK_ERROR: 'change_check_error'>, <PermissionAction.RUN_WORKFLOW: 'run'>]}}}), 'prouzat1': Permissions(roles=[], general=[<PermissionAction.ADMIN: 'admin'>, <PermissionAction.CANCEL_WORKFLOW: 'cancel_workflow'>, <PermissionAction.START_WORKFLOW: 'start_workflow'>, <PermissionAction.UPDATE: 'update'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.CHANGE_CHECK_ERROR: 'change_check_error'>, <PermissionAction.RUN_WORKFLOW: 'run'>], workflows={'unit_test_permissions': {'general': [<PermissionAction.READ: 'read'>], 'stages': {'uat': [<PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>]}}})}
2026-05-08 14:11:43,694 (13256)|13256 DEBUG   permission check_relo (194): Reloaded role permissions: {'admin': Permissions(roles=[], general=[<PermissionAction.ADMIN: 'admin'>, <PermissionAction.CANCEL_WORKFLOW: 'cancel_workflow'>, <PermissionAction.START_WORKFLOW: 'start_workflow'>, <PermissionAction.UPDATE: 'update'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.CHANGE_CHECK_ERROR: 'change_check_error'>, <PermissionAction.RUN_WORKFLOW: 'run'>], workflows={'*': {'general': [<PermissionAction.ADMIN: 'admin'>, <PermissionAction.CANCEL_WORKFLOW: 'cancel_workflow'>, <PermissionAction.START_WORKFLOW: 'start_workflow'>, <PermissionAction.UPDATE: 'update'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.CHANGE_CHECK_ERROR: 'change_check_error'>, <PermissionAction.RUN_WORKFLOW: 'run'>], 'stages': {'*': [<PermissionAction.ADMIN: 'admin'>, <PermissionAction.CANCEL_WORKFLOW: 'cancel_workflow'>, <PermissionAction.START_WORKFLOW: 'start_workflow'>, <PermissionAction.UPDATE: 'update'>, <PermissionAction.READ: 'read'>, <PermissionAction.DEPLOY: 'deploy'>, <PermissionAction.FOUR_EYES_CHECK: '4-eyes_check'>, <PermissionAction.CHANGE_CHECK_ERROR: 'change_check_error'>, <PermissionAction.RUN_WORKFLOW: 'run'>]}}})}
2026-05-08 14:11:43,861 (13256)|13256 DEBUG   webmiddlew dispatch   (83): Response send code: 200
